city,country,category,name,address,why_it_matters,associated_person_or_event,source_url
New Orleans,USA,Literature,Kate Chopin House (commonly cited residence),"1413 Louisiana Ave, New Orleans, LA 70115, USA",,,https://en.wikipedia.org/wiki/Kate_Chopin
New Orleans,USA,Literature,Truman Capote New Orleans (reported family-associated address in the French Quarter),"632 St Peter St, New Orleans, LA 70116, USA",Capote’s childhood connection to New Orleans is often described through family homes in the French Quarter; this address is commonly cited in local accounts tying him to the city’s literary map.,Truman Capote,https://en.wikipedia.org/wiki/Truman_Capote
New Orleans,USA,Literature,Tulane University – Howard-Tilton Memorial Library (literary manuscripts and papers),"6801 Freret St, New Orleans, LA 70118, USA","Tulane’s main library is a key repository for manuscripts and papers related to Louisiana and New Orleans literature, making it an address strongly tied to literary study and preservation.",Howard-Tilton Memorial Library (literary archival collections),https://library.tulane.edu/
New Orleans,USA,Literature,New Orleans Public Library – Main Library (literary collections/author events),"219 Loyola Ave, New Orleans, LA 70112, USA","As the city’s central public library, this address anchors New Orleans’ civic literary life through local-author collections, readings, and programs tied to the city’s writers.",New Orleans Public Library (Main Library),https://nolalibrary.org/locations/main-library/
New Orleans,USA,Literature,St. Louis Cemetery No. 1 (burial site associated with Homer Plessy memorialization in literature/civic writing),"425 Basin St, New Orleans, LA 70112, USA",This cemetery is tied to figures whose stories are central to New Orleans writing and narrative history; it is a precise-address memorial landscape frequently referenced in local literary and historical works.,St. Louis Cemetery No. 1 (historic burials frequently referenced in New Orleans literature),https://en.wikipedia.org/wiki/Saint_Louis_Cemetery_No._1
New Orleans,USA,Literature,Ochsner Clinic (workplace associated with Walker Percy),"1514 Jefferson Hwy, New Orleans, LA 70121, USA",Walker Percy trained and worked as a physician in the New Orleans area; his medical career and life here deeply informed his novels’ moral and philosophical concerns.,Walker Percy,https://en.wikipedia.org/wiki/Walker_Percy
New Orleans,USA,Economics & Business,French Market (historic public market district),"700 Decatur St, New Orleans, LA 70116",,,https://en.wikipedia.org/wiki/French_Market
New Orleans,USA,Economics & Business,U.S. Custom House (New Orleans Customhouse),"423 Canal St, New Orleans, LA 70130",,,"https://en.wikipedia.org/wiki/U.S._Custom_House_(New_Orleans,_Louisiana)"
New Orleans,USA,Economics & Business,Crescent City Farmers Market at the Warehouse District (market site),"200 Julia St, New Orleans, LA 70130",,,https://www.crescentcityfarmersmarket.org/
New Orleans,USA,Economics & Business,Whitney National Bank Building,"228 St Charles Ave, New Orleans, LA 70130",,,https://en.wikipedia.org/wiki/Whitney_National_Bank
New Orleans,USA,Economics & Business,Federal Reserve Bank of Atlanta – New Orleans Branch (former branch building),"350 Carondelet St, New Orleans, LA 70130",,,https://www.atlantafed.org/about/locations/new-orleans-branch
New Orleans,USA,Economics & Business,Hotel Monteleone,"214 Royal St, New Orleans, LA 70130",,,https://en.wikipedia.org/wiki/Hotel_Monteleone
New Orleans,USA,Economics & Business,Commander’s Palace,"1403 Washington Ave, New Orleans, LA 70130",,,https://en.wikipedia.org/wiki/Commander%27s_Palace
New Orleans,USA,Economics & Business,The Roosevelt New Orleans (formerly the Grunewald Hotel),"130 Roosevelt Way, New Orleans, LA 70112",,,https://en.wikipedia.org/wiki/Roosevelt_Hotel_(New_Orleans)
New Orleans,USA,Economics & Business,"Metairie Cemetery (tomb of A. Baldwin Wood, engineer/inventor tied to drainage infrastructure and industry)","5100 Pontchartrain Blvd, New Orleans, LA 70124",,,https://en.wikipedia.org/wiki/A._Baldwin_Wood
New Orleans,USA,Economics & Business,Antoine’s Restaurant,"713 St Louis St, New Orleans, LA 70130",,,https://en.wikipedia.org/wiki/Antoine%27s
New Orleans,USA,Economics & Business,Upper Pontalba Building,"542 St Ann St, New Orleans, LA 70116, USA","Developed by Baroness Micaela Almonester de Pontalba, a major real-estate entrepreneur whose Pontalba buildings shaped the commercial/residential edge of Jackson Square.",Baroness Micaela Almonester de Pontalba (real-estate developer),https://en.wikipedia.org/wiki/Pontalba_Buildings
New Orleans,USA,Economics & Business,Maison Blanche Building (former department store site),"901 Canal St, New Orleans, LA 70112, USA","Maison Blanche was one of New Orleans’ iconic department-store businesses, illustrating the city’s rise as a Gulf South retail center.",Maison Blanche (New Orleans department store business),https://en.wikipedia.org/wiki/Maison_Blanche
New Orleans,USA,Economics & Business,Pitot House,"1440 Moss St, New Orleans, LA 70119, USA","Associated with James Pitot, a merchant and civic leader whose work illustrates early American-era trade and business networks in New Orleans.",James Pitot (merchant and civic leader),https://en.wikipedia.org/wiki/Pitot_House
New Orleans,USA,Economics & Business,Ruth's Chris Steak House (original location site),"1100 N Broad St, New Orleans, LA 70119, USA","Associated with Ruth Fertel, who built a globally recognized restaurant brand after acquiring and operating the original Chris Steak House in New Orleans.",Ruth Fertel (entrepreneur/restaurateur),https://en.wikipedia.org/wiki/Ruth%27s_Chris_Steak_House
New Orleans,USA,Economics & Business,Mardi Gras World,"1380 Port of New Orleans Pl, New Orleans, LA 70130, USA","Closely tied to Blaine Kern, whose float-building enterprise industrialized and scaled a core part of New Orleans’ carnival economy.",Blaine Kern (float builder/businessman),https://en.wikipedia.org/wiki/Blaine_Kern
New Orleans,USA,Economics & Business,Hermann-Grima House,"820 St Louis St, New Orleans, LA 70112, USA","This French Quarter residence is closely associated with merchant Félix Hermann and the Grima family, reflecting the city’s 19th-century mercantile economy and trade networks.",Félix Hermann / Grima family merchants,https://en.wikipedia.org/wiki/Hermann-Grima_House
New Orleans,USA,Economics & Business,Popeyes (first location on S. Claiborne),"3839 S Claiborne Ave, New Orleans, LA 70125, USA","Al Copeland launched Popeyes from this original New Orleans location, growing it into a major global fast-food brand and a signature local business success story.",Al Copeland,https://en.wikipedia.org/wiki/Al_Copeland
New Orleans,USA,Economics & Business,Touro Infirmary,"1401 Foucher St, New Orleans, LA 70115, USA",Financier and merchant Judah Touro’s bequest helped establish enduring charitable institutions in New Orleans; Touro Infirmary stands as a major example of business wealth shaping public services.,Judah Touro,https://en.wikipedia.org/wiki/Judah_Touro
New Orleans,USA,Economics & Business,K-Paul’s Louisiana Kitchen,"416 Chartres St, New Orleans, LA 70130, USA","Chef-entrepreneur Paul Prudhomme used K-Paul’s as the flagship for popularizing Cajun/Creole cuisine nationally, fueling a boom in New Orleans’ restaurant business reputation.",Paul Prudhomme,https://en.wikipedia.org/wiki/Paul_Prudhomme
New Orleans,USA,Economics & Business,Emeril’s (restaurant),"800 Tchoupitoulas St, New Orleans, LA 70130, USA",Emeril Lagasse anchored his New Orleans restaurant group here while building a national media-and-dining enterprise that amplified the city’s culinary economy.,Emeril Lagasse,https://en.wikipedia.org/wiki/Emeril_Lagasse
New Orleans,USA,Art,The Historic New Orleans Collection (THNOC) – Williams Research Center (archives for artists/visual culture history),"410 Chartres St, New Orleans, LA 70130",,,https://www.hnoc.org/research/williams-research-center
New Orleans,USA,Art,Ashé Cultural Arts Center,"1712 Oretha Castle Haley Blvd, New Orleans, LA 70113",,,https://ashecac.org/
New Orleans,USA,Art,XULA Art Gallery (Xavier University of Louisiana),"1 Drexel Dr, New Orleans, LA 70125",,,https://www.xula.edu/artgallery/
New Orleans,USA,Art,New Orleans GlassWorks & Printmaking Studio,"727 Magazine St, New Orleans, LA 70130",,,https://www.nolaglassworks.com/
New Orleans,USA,Art,"A Studio in the Woods (artist residency site, Tulane University)","13401 Patterson Rd, New Orleans, LA 70131",,,https://astudiointhewoods.org/
New Orleans,USA,Art,Contemporary Arts Center (CAC),"900 Camp St, New Orleans, LA 70130",,"Contemporary exhibitions, performances, and artist projects in New Orleans",https://cacno.org/
New Orleans,USA,Art,Cole Pratt Gallery,"134 Royal St, New Orleans, LA 70130",,Cole Pratt; fine art gallery specializing in established and emerging artists,https://www.coleprattgallery.com/
New Orleans,USA,Art,LeMieux Galleries,"332 Julia St, New Orleans, LA 70130",,Founded/operated by Elizabeth LeMieux; exhibitions of contemporary artists,https://lemieuxgalleries.com/
New Orleans,USA,Art,Arts Council of New Orleans,"536 Carondelet St, New Orleans, LA 70130",,"Citywide artist support programs, public art administration, and grantmaking",https://www.artscouncilnola.org/
New Orleans,USA,Art,"Degas House (Edgar Degas stay with relatives, 1872–1873)","2306 Esplanade Ave, New Orleans, LA 70119",,Edgar Degas; painted New Orleans subjects while staying with the Musson family,https://www.degashouse.com/
New Orleans,USA,Art,Lafcadio Hearn’s former home site (associated address in the French Quarter),"530 Conti St, New Orleans, LA 70130, USA",,Lafcadio Hearn; New Orleans literary work and journalism (late 1870s–1880s).,https://en.wikipedia.org/wiki/Lafcadio_Hearn
New Orleans,USA,Art,Tipitina’s (legendary Uptown music club),"501 Napoleon Ave, New Orleans, LA 70115, USA",,Professor Longhair (namesake) and major New Orleans musicians; foundational live performances.,https://en.wikipedia.org/wiki/Tipitina%27s
New Orleans,USA,Art,Louis Armstrong Birthplace (historic address associated with Armstrong’s early life),"719 Aubry St, New Orleans, LA 70119, USA",,Louis Armstrong; birthplace/early-life neighborhood context.,https://www.atlasobscura.com/places/louis-armstrongs-birthplace
New Orleans,USA,Art,George Rodrigue Gallery (Royal Street address associated with the ‘Blue Dog’ artist),"730 Royal St, New Orleans, LA 70116, USA",,George Rodrigue; public exhibition and sales of ‘Blue Dog’ works.,https://en.wikipedia.org/wiki/George_Rodrigue
New Orleans,USA,Art,The Saenger Theatre (major historic performing-arts venue on Canal Street),"1111 Canal St, New Orleans, LA 70112, USA",,Touring Broadway and concert events; New Orleans performing-arts history at a flagship venue.,https://en.wikipedia.org/wiki/Saenger_Theatre_(New_Orleans)
New Orleans,USA,Art,Mother-in-Law Lounge (Kermit Ruffins-associated venue/workplace),"1500 N Claiborne Ave, New Orleans, LA 70116, USA","This address is closely associated with trumpeter and bandleader Kermit Ruffins, who helped revive and sustain neighborhood-based live jazz culture here. It is a specific, person-linked performance workplace central to contemporary New Orleans music-making.",Kermit Ruffins,https://en.wikipedia.org/wiki/Kermit_Ruffins
New Orleans,USA,Art,Backstreet Cultural Museum (founded by Sylvester Francis),"1116 Henriette Delille St, New Orleans, LA 70116, USA","Founded by Sylvester Francis, the museum documents Mardi Gras Indian artistry, Social Aid & Pleasure Club traditions, and jazz funeral culture through objects made by identifiable culture-bearers. The address is directly tied to Francis’s life work of preserving community-made art.",Sylvester Francis,https://en.wikipedia.org/wiki/Backstreet_Cultural_Museum
New Orleans,USA,Art,Beauregard-Keyes House (home of writer Frances Parkinson Keyes),"1113 Chartres St, New Orleans, LA 70116, USA","Writer Frances Parkinson Keyes lived here and used New Orleans as a central subject in her popular books, connecting this exact address to her literary output. The house is specifically identified with Keyes’s residence and work in the French Quarter.",Frances Parkinson Keyes,https://en.wikipedia.org/wiki/Beauregard%E2%80%93Keyes_House
New Orleans,USA,Art,J&M Recording Studio (Cosimo Matassa’s studio site),"838 N Rampart St, New Orleans, LA 70116, USA",Record producer/engineer Cosimo Matassa’s J&M Studio is tied to seminal New Orleans R&B recordings that influenced popular music worldwide. The address is specifically associated with the studio where many defining sessions took place.,Cosimo Matassa and J&M Recording Studio sessions,https://en.wikipedia.org/wiki/J%26M_Recording_Studio
New Orleans,USA,Art,William Faulkner House (Faulkner’s French Quarter lodging),"624 Pirate's Alley, New Orleans, LA 70116, USA","This is the well-known address where novelist William Faulkner lived briefly in the 1920s, tied to his early literary career. The building is marked and widely documented as the 'Faulkner House.'",William Faulkner,https://en.wikipedia.org/wiki/Faulkner_House_(New_Orleans)
New Orleans,USA,Music,J&M Recording Studio (former),"838-840 N Rampart St, New Orleans, LA 70116",,"Cosimo Matassa; seminal New Orleans R&B recordings (Fats Domino, Little Richard, Lloyd Price, etc.)",https://en.wikipedia.org/wiki/J%26M_Recording_Studio
New Orleans,USA,Music,Tipitina's,"501 Napoleon Ave, New Orleans, LA 70115",,Named after Professor Longhair; major venue for New Orleans funk/R&B and brass bands,https://en.wikipedia.org/wiki/Tipitina%27s
New Orleans,USA,Music,The Howlin' Wolf,"907 S Peters St, New Orleans, LA 70130",,"Modern venue hosting touring and local acts across rock, funk, hip-hop, and brass band scenes",https://www.thehowlinwolf.com/
New Orleans,USA,Music,Louisiana Music Factory,"421 Frenchmen St, New Orleans, LA 70116",,Local-music retail institution known for New Orleans recordings and artist appearances,https://www.louisianamusicfactory.com/
New Orleans,USA,Music,Maple Leaf Bar,"8316 Oak St, New Orleans, LA 70118",,Long-running venue closely associated with Rebirth Brass Band’s regular appearances,https://en.wikipedia.org/wiki/Maple_Leaf_Bar
New Orleans,USA,Music,Cosimo Recording Studio (later Matassa studio location),"521 Governor Nicholls St, New Orleans, LA 70116, USA",,,https://en.wikipedia.org/wiki/Cosimo_Matassa
New Orleans,USA,Music,Mahogany Hall (Storyville site),"235 Basin St, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Mahogany_Hall
New Orleans,USA,Music,Preservation Hall,"726 St Peter St, New Orleans, LA 70116, USA",,,https://en.wikipedia.org/wiki/Preservation_Hall
New Orleans,USA,Music,Old Absinthe House,"240 Bourbon St, New Orleans, LA 70130, USA",,,https://en.wikipedia.org/wiki/Old_Absinthe_House
New Orleans,USA,Music,Orpheum Theater,"129 Roosevelt Way, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Orpheum_Theater_(New_Orleans)
New Orleans,USA,Music,New Orleans Jazz & Heritage Foundation (office),"1205 St Charles Ave, New Orleans, LA 70130",,,https://en.wikipedia.org/wiki/New_Orleans_Jazz_%26_Heritage_Festival
New Orleans,USA,Music,New Orleans Center for Creative Arts (NOCCA),"2800 Chartres St, New Orleans, LA 70117",,,https://en.wikipedia.org/wiki/New_Orleans_Center_for_Creative_Arts
New Orleans,USA,Music,Fair Grounds Race Course (New Orleans Jazz & Heritage Festival site),"1751 Gentilly Blvd, New Orleans, LA 70119",,,https://en.wikipedia.org/wiki/New_Orleans_Jazz_%26_Heritage_Festival
New Orleans,USA,Music,The Mother-in-Law Lounge,"1500 N Claiborne Ave, New Orleans, LA 70116",,,https://en.wikipedia.org/wiki/The_Mother-in-Law_Lounge
New Orleans,USA,Music,Fats Domino House (former residence),"1208 Caffin Ave, New Orleans, LA 70117",,,https://en.wikipedia.org/wiki/Fats_Domino
New Orleans,USA,Music,Dew Drop Inn,"2836 LaSalle St, New Orleans, LA 70115, USA",,,https://en.wikipedia.org/wiki/Dew_Drop_Inn
New Orleans,USA,Music,Professor Longhair Grave (Mount Olivet Cemetery),"4000 Norman Mayer Ave, New Orleans, LA 70122, USA",,,https://en.wikipedia.org/wiki/Professor_Longhair
New Orleans,USA,Music,Sea-Saint Studios (Allen Toussaint’s studio),"3809 Clematis St, New Orleans, LA 70122, USA",,,https://en.wikipedia.org/wiki/Sea-Saint_Studios
New Orleans,USA,Music,Saenger Theatre,"1111 Canal St, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Saenger_Theatre_(New_Orleans)
New Orleans,USA,Music,New Orleans Musicians’ Tomb (Greenwood Cemetery),"5190 Canal Blvd, New Orleans, LA 70124, USA",,,https://en.wikipedia.org/wiki/New_Orleans_Musicians%27_Tomb
New Orleans,USA,Architecture,Lower Pontalba Building (Jackson Square side),"700 St Peter St, New Orleans, LA 70116, USA","This companion block to the Upper Pontalba reflects Baroness Pontalba’s large-scale, design-led real-estate vision executed with architect James Gallier Sr. Together, the buildings established an influential model for cohesive urban frontage in the historic core.",Baroness Micaela Almonester de Pontalba; James Gallier Sr.,https://en.wikipedia.org/wiki/Pontalba_Buildings
New Orleans,USA,Architecture,"St. Louis Cathedral (Cathedral-Basilica of Saint Louis, King of France)","615 Pere Antoine Alley, New Orleans, LA 70116, USA","The cathedral’s 19th-century rebuilding is strongly associated with architect Benjamin Henry Latrobe’s successor generation in New Orleans civic-religious architecture, including Benjamin Morgan Harrod and later French-trained architects. It is a defining commission that shaped the city’s most symbolically loaded urban space.",Benjamin Morgan Harrod; J. N. B. de Pouilly (rebuild era),https://en.wikipedia.org/wiki/St._Louis_Cathedral_(New_Orleans)
New Orleans,USA,Architecture,New Orleans City Hall,"1300 Perdido St, New Orleans, LA 70112, USA","Associated with architect August Perez, City Hall is a key modern civic building that illustrates mid-century governmental architecture in New Orleans. Its design reflects the era’s emphasis on efficiency, monumental presence, and modern materials.",August Perez,https://en.wikipedia.org/wiki/New_Orleans_City_Hall
New Orleans,USA,Architecture,The Cabildo,"701 Chartres St, New Orleans, LA 70116, USA","Rebuilt in the Spanish colonial era and associated with Spanish engineer-architects governing the city after major fires, the Cabildo embodies the shift to fire-conscious masonry civic architecture. It is directly tied to the administrative apparatus that reshaped the French Quarter’s architectural character.",Spanish colonial government reconstruction program (post-1788/1794 fires),https://en.wikipedia.org/wiki/The_Cabildo
New Orleans,USA,Architecture,Louisiana Superdome (Caesars Superdome),"1500 Sugar Bowl Dr, New Orleans, LA 70112, USA","Designed by the New Orleans firm Curtis and Davis, the Superdome is a defining late-20th-century engineering and architectural achievement for the city. It is tightly linked to the modernist mega-structure era and New Orleans’ postwar civic ambitions.",Curtis and Davis (Nathaniel Curtis; Arthur Q. Davis),https://en.wikipedia.org/wiki/Caesars_Superdome
New Orleans,USA,Architecture,Lafayette Cemetery No. 1,"1427 Washington Ave, New Orleans, LA 70130, USA",,,https://en.wikipedia.org/wiki/Lafayette_Cemetery_No._1
New Orleans,USA,Architecture,Saenger Theatre,"1111 Canal St, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Saenger_Theatre_(New_Orleans)
New Orleans,USA,Architecture,Pitot House,"1440 Moss St, New Orleans, LA 70119, USA",,,https://en.wikipedia.org/wiki/Pitot_House
New Orleans,USA,Architecture,Gallier House,"1132 Royal St, New Orleans, LA 70116, USA",,,https://en.wikipedia.org/wiki/Gallier_House
New Orleans,USA,Architecture,Buckner Mansion,"1410 Jackson Ave, New Orleans, LA 70130, USA",,,https://en.wikipedia.org/wiki/Buckner_Mansion
New Orleans,USA,Architecture,Gallier Hall (former New Orleans City Hall),"545 St Charles Ave, New Orleans, LA 70130, USA",,,https://en.wikipedia.org/wiki/Gallier_Hall
New Orleans,USA,Architecture,St. Roch Chapel (Shrine of Saint Roch),"1725 St Roch Ave, New Orleans, LA 70117, USA",,,https://en.wikipedia.org/wiki/Saint_Roch_Chapel
New Orleans,USA,Architecture,St. Augustine Church (Treme),"1210 Gov Nicholls St, New Orleans, LA 70116, USA",,,https://en.wikipedia.org/wiki/St._Augustine_Church_(New_Orleans)
New Orleans,USA,Architecture,Marie Laveau Tomb (St. Louis Cemetery No. 1),"425 Basin St, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Marie_Laveau
New Orleans,USA,Architecture,Hermann-Grima House,"820 St Louis St, New Orleans, LA 70112, USA",,,https://en.wikipedia.org/wiki/Hermann%E2%80%93Grima_House
New Orleans,USA,Architecture,"AIA New Orleans (American Institute of Architects, New Orleans chapter) कार्यालय","801 Carondelet St, New Orleans, LA 70130",,,https://aianeworleans.org/
New Orleans,USA,Architecture,Charity Hospital Building (former Charity Hospital of New Orleans),"1532 Tulane Ave, New Orleans, LA 70112",,,https://en.wikipedia.org/wiki/Charity_Hospital_(New_Orleans)
New Orleans,USA,Architecture,EskewDumezRipple (architecture firm office),"201 St Charles Ave, Suite 3400, New Orleans, LA 70170",,,https://www.eskewdumezripple.com/
New Orleans,USA,Architecture,Trahan Architects (architecture firm office),"1108 Oretha Castle Haley Blvd, New Orleans, LA 70113",,,https://trahanarchitects.com/
New Orleans,USA,Architecture,Entergy Building (formerly New Orleans Public Service Inc. / NOPSI headquarters),"639 Loyola Ave, New Orleans, LA 70113",,,https://en.wikipedia.org/wiki/Entergy_Tower_(New_Orleans)
New Orleans,USA,History,Xavier University of Louisiana,"1 Drexel Dr, New Orleans, LA 70125",,Historically Black Catholic university founded by Saint Katharine Drexel; important site in education and civil rights-era New Orleans history.,https://en.wikipedia.org/wiki/Xavier_University_of_Louisiana
New Orleans,USA,History,Hermann-Grima House (historic urban residence),"820 St Louis St, New Orleans, LA 70112",,"Early 19th-century home tied to the Grima family; used as a primary site for interpreting everyday life, slavery, and commerce in antebellum New Orleans.",https://en.wikipedia.org/wiki/Hermann-Grima_House
New Orleans,USA,History,Old Ursuline Convent,"1100 Chartres St, New Orleans, LA 70116",,One of the oldest surviving structures in the Mississippi Valley; tied to the Ursuline nuns’ foundational role in colonial-era education and healthcare in New Orleans.,"https://en.wikipedia.org/wiki/Old_Ursuline_Convent,_New_Orleans"
New Orleans,USA,History,St. Augustine Catholic Church (Tremé),"1210 Governor Nicholls St, New Orleans, LA 70116",,Historic Black Catholic parish; associated with Venerable Henriette Delille and the Sisters of the Holy Family’s early community life in the area.,"https://en.wikipedia.org/wiki/Saint_Augustine_Church_(New_Orleans,_Louisiana)"
New Orleans,USA,History,Southern University at New Orleans (SUNO),"6400 Press Dr, New Orleans, LA 70126",,Public HBCU established in 1956; closely tied to postwar education expansion and civil rights-era institutional history in New Orleans East.,https://en.wikipedia.org/wiki/Southern_University_at_New_Orleans
New Orleans,USA,History,Touro Synagogue,"4238 St Charles Ave, New Orleans, LA 70115",,Major site in New Orleans Jewish history; congregation dates to the 19th century,https://en.wikipedia.org/wiki/Touro_Synagogue_(New_Orleans)
New Orleans,USA,History,St. Louis Cemetery No. 1 (Marie Laveau tomb tradition),"425 Basin St, New Orleans, LA 70112",,Historic cemetery; associated with early New Orleans burials and the Marie Laveau tomb tradition,https://en.wikipedia.org/wiki/Saint_Louis_Cemetery
New Orleans,USA,History,Lafayette Cemetery No. 1,"1427 Washington Ave, New Orleans, LA 70130",,19th-century municipal cemetery reflecting New Orleans funerary and immigrant history,https://en.wikipedia.org/wiki/Lafayette_Cemetery_No._1
New Orleans,USA,History,Homer Plessy arrest site (Press Street / Royal Street),"Intersection of Press St & Royal St, New Orleans, LA 70117",,Site associated with Homer Plessy’s 1892 arrest leading to Plessy v. Ferguson,https://en.wikipedia.org/wiki/Homer_Plessy
New Orleans,USA,History,Le Petit Théâtre du Vieux Carré,"616 St Peter, New Orleans, LA 70116",,Historic French Quarter theater institution founded in 1916,https://en.wikipedia.org/wiki/Le_Petit_Th%C3%A9%C3%A2tre_du_Vieux_Carr%C3%A9
New Orleans,USA,History,Upper Pontalba Building,"700–744 St Peter St, New Orleans, LA 70116, USA","Commissioned by Baroness Micaela Almonester de Pontalba, these buildings are directly tied to one of the most influential women developers in 19th-century New Orleans. The site is a specific architectural and civic legacy associated with her role in shaping the French Quarter’s iconic frontage.",Baroness Micaela Almonester de Pontalba,https://en.wikipedia.org/wiki/Pontalba_Buildings
New Orleans,USA,History,Gallier House,"1132 Royal St, New Orleans, LA 70116, USA","This preserved townhouse was the home of architect James Gallier Jr., a key figure in 19th-century New Orleans architecture and civic life. It offers a direct link to the city’s pre-Civil War residential design and elite urban culture.",James Gallier Jr.,https://en.wikipedia.org/wiki/Gallier_House
New Orleans,USA,History,Degas House,"2306 Esplanade Ave, New Orleans, LA 70119, USA","This house is tied to Edgar Degas through his maternal Creole family, and he stayed and worked here during visits to New Orleans. It connects the city’s 19th-century mercantile Creole world to an internationally significant artist.",Edgar Degas,https://en.wikipedia.org/wiki/Degas_House
New Orleans,USA,History,Antoine’s Restaurant (original French Quarter location),"713 St Louis St, New Orleans, LA 70130, USA","Founded by Antoine Alciatore in 1840, this long-running establishment is directly tied to an immigrant entrepreneur and the evolution of Creole dining culture. It is a specific workplace site that intersects with the city’s social and political history through generations of patrons.",Antoine Alciatore,https://en.wikipedia.org/wiki/Antoine%27s
